upc,product_name,brand_name,category,ingredients
021000081234,Honey BBQ Sauce,Sweet Baby Ray's,Sauces,Tomato|Honey|Vinegar
041303111234,Greek Yogurt Blueberry,Chobani,Dairy,Milk|Blueberries|Sugar|Cultures
052100121234,Wheat Thins Crackers,Nabisco,Snacks,Wheat|Vegetable Oil|Sugar|Salt
070177081234,Queso Dip,Tostitos,Dips,Cheese|Peppers|Milk
041190121234,Peanut Butter Crunchy,Nature's Path,Spreads,Peanuts|Salt
012000201234,Rice Krispies,Kellogg's,Cereal,Rice|Sugar|Salt|Malt
041755101234,Half Baked Ice Cream,Ben & Jerry's,Ice Cream,Cream|Cookie Dough|Brownies
078742101234,Frozen Pizza Four Cheese,DiGiorno,Frozen Pizza,Flour|Four Cheese Blend|Tomato
037600201234,Beef Broth,Swanson,Broth,Beef Stock|Salt|Herbs
011111001234,Peas & Carrots Frozen,Birds Eye,Frozen Vegetables,Peas|Carrots
041497201234,Grapefruit Juice,Tropicana,Juice,Grapefruit Juice|Water
025000101234,Easy Mac Microwave,Kraft,Pasta,Pasta|Cheese Powder|Whey
041130101234,Chewy Granola Bars,Nature Valley,Snacks,Oats|Sugar|Honey
041220101234,Marinara Sauce,Prego,Sauces,Tomatoes|Garlic|Basil|Oregano
011150101234,Canned Peas,Del Monte,Canned Vegetables,Peas|Water|Salt
041190468831,Organic Granola Original,Nature's Path,Cereal,Oats|Honey|Almonds|Cinnamon
070038349228,Peanut Butter,Reese's,Spreads,Peanuts|Sugar|Palm Oil|Salt
011110787835,Broccoli Florets Frozen,Green Giant,Frozen Vegetables,Broccoli
041303054109,Plain Greek Yogurt,Chobani,Dairy,Milk|Live Cultures
052100032283,Ritz Crackers,Nabisco,Snacks,Wheat Flour|Vegetable Oil|Sugar|Salt
688267008757,Organic Sweet Potato Baby Food,Plum Organics,Baby Food,Sweet Potato|Water
012000161551,Special K Cereal,Kellogg's,Cereal,Rice|Wheat|Sugar|Salt
041755001054,Cherry Garcia Ice Cream,Ben & Jerry's,Ice Cream,Cream|Sugar|Cherries|Chocolate
078742361383,Rising Crust Pizza Supreme,DiGiorno,Frozen Pizza,Flour|Cheese|Tomato|Meat
037600437301,Turkey Broth,Swanson,Broth,Turkey Stock|Salt|Herbs
011110861122,Sweet Peas Frozen,Birds Eye,Frozen Vegetables,Peas|Salt
041497434954,Orange Juice with Calcium,Tropicana,Juice,Orange Juice|Calcium|Vitamin D
025000042126,Original Kraft Dinner,Kraft,Pasta,Pasta|Cheese Powder|Whey
041130581298,Protein Granola Bars,Nature Valley,Snacks,Oats|Protein|Honey|Almonds
041220067183,Traditional Pasta Sauce,Prego,Sauces,Tomatoes|Onions|Garlic|Basil
011150541947,Sliced Peaches,Del Monte,Canned Fruit,Peaches|Water|Sugar
688267141218,Banana Baby Food,Plum Organics,Baby Food,Banana|Water|Lemon
070330632776,Concord Grape Juice,Welch's,Juice,Grape Juice|Water
021000016631,Sweet & Spicy BBQ Sauce,Sweet Baby Ray's,Sauces,Tomato|Vinegar|Sugar|Spices
041303011727,Non-Fat Greek Yogurt,Chobani,Dairy,Milk|Live Cultures
052100120175,Triscuit Crackers,Nabisco,Snacks,Whole Wheat|Vegetable Oil|Salt
070177031312,Hint of Lime Tortilla Chips,Tostitos,Snacks,Corn|Vegetable Oil|Lime|Salt
041190400089,Flax Plus Cereal,Nature's Path,Cereal,Oats|Flax Seeds|Raisins|Honey
012000161605,Raisin Bran Cereal,Kellogg's,Cereal,Wheat Bran|Raisins|Sugar|Salt
041755069498,Phish Food Ice Cream,Ben & Jerry's,Ice Cream,Cream|Chocolate|Caramel|Marshmallow
078742145938,Thin Crust Pizza Margherita,DiGiorno,Frozen Pizza,Flour|Mozzarella|Tomato|Basil
037600105743,Low Sodium Chicken Broth,Swanson,Broth,Chicken Stock|Salt
011110840325,Steamfresh Carrots,Birds Eye,Frozen Vegetables,Carrots
041497605132,Lemonade,Tropicana,Juice,Water|Lemon Juice|Sugar
025000087424,Three Cheese Shells,Kraft,Pasta,Pasta|Cheese Blend|Whey
041130589201,Crunchy Granola Bars Oats,Nature Valley,Snacks,Oats|Sugar|Canola Oil|Honey
041220632787,Roasted Garlic Sauce,Prego,Sauces,Tomatoes|Garlic|Olive Oil|Basil
011150540803,Fruit Cocktail,Del Monte,Canned Fruit,Peaches|Pears|Grapes|Cherries|Sugar
688267039256,Mango Baby Food,Plum Organics,Baby Food,Mango|Apple|Water
070330606746,Strawberry Spread,Welch's,Spreads,Strawberries|Sugar|Pectin
021000658251,Hickory Brown Sugar BBQ,Sweet Baby Ray's,Sauces,Tomato|Brown Sugar|Vinegar|Smoke
041303051085,Low-Fat Greek Yogurt Peach,Chobani,Dairy,Milk|Peaches|Sugar|Cultures
052100043658,Premium Saltines,Nabisco,Snacks,Flour|Vegetable Oil|Salt|Yeast
070177453893,Scoops Tortilla Chips,Tostitos,Snacks,Corn|Vegetable Oil|Salt
041190017812,EnviroKidz Cereal,Nature's Path,Cereal,Corn|Oats|Sugar|Cocoa
012000508707,Frosted Mini-Wheats,Kellogg's,Cereal,Wheat|Sugar|Gelatin
041755090461,Chocolate Fudge Brownie,Ben & Jerry's,Ice Cream,Cream|Brownies|Cocoa|Sugar
078742041063,Stuffed Crust Pizza Pepperoni,DiGiorno,Frozen Pizza,Flour|Cheese|Pepperoni|Tomato
037600430715,Organic Chicken Broth,Swanson,Broth,Organic Chicken|Water|Salt
011110854063,Italian Green Beans,Birds Eye,Frozen Vegetables,Green Beans|Garlic|Herbs
041497434817,Cranberry Juice Cocktail,Tropicana,Juice,Cranberry|Sugar|Vitamin C
025000031328,Deluxe Four Cheese,Kraft,Pasta,Pasta|Four Cheese Blend|Cream
041130581304,Protein Peanut Butter Bars,Nature Valley,Snacks,Oats|Peanut Butter|Protein|Honey
041220632800,Chunky Garden Sauce,Prego,Sauces,Tomatoes|Vegetables|Garlic|Oregano
011150183058,Mandarin Oranges,Del Monte,Canned Fruit,Mandarin Oranges|Water|Sugar
688267141157,Pear Baby Food,Plum Organics,Baby Food,Pear|Water
070330726048,Grape Jam,Welch's,Spreads,Grapes|Sugar|Pectin|Citric Acid
021000658220,Original BBQ Sauce,Sweet Baby Ray's,Sauces,Tomato|Vinegar|Sugar|Molasses
041303052075,Flip Greek Yogurt Almond,Chobani,Dairy,Milk|Almonds|Honey|Cultures
052100096340,Chips Ahoy Chewy,Nabisco,Cookies,Flour|Sugar|Chocolate Chips|Palm Oil
070177031299,Original Restaurant Style,Tostitos,Snacks,Corn|Vegetable Oil|Salt|Lime
041190002290,Pumpkin Flax Granola,Nature's Path,Cereal,Oats|Pumpkin Seeds|Flax|Maple
012000429972,Corn Pops Cereal,Kellogg's,Cereal,Corn|Sugar|Salt|Malt
041755069504,The Tonight Dough,Ben & Jerry's,Ice Cream,Cream|Cookie Dough|Chocolate|Caramel
078742145815,Hand Tossed Pizza Three Meat,DiGiorno,Frozen Pizza,Flour|Cheese|Pepperoni|Sausage|Bacon
037600107389,Flavor Boost Chicken,Swanson,Broth,Chicken Stock|Herbs|Vegetables
011110860750,Chopped Spinach Frozen,Birds Eye,Frozen Vegetables,Spinach
041497434510,Fruit Punch,Tropicana,Juice,Water|Fruit Juices|Sugar|Citric Acid
025000155727,White Cheddar Shells,Kraft,Pasta,Pasta|White Cheddar|Whey
041130589188,Sweet & Salty Granola Bars,Nature Valley,Snacks,Oats|Peanuts|Sugar|Salt|Honey
041220632817,Heart Healthy Sauce,Prego,Sauces,Tomatoes|Olive Oil|Garlic|Basil
011150540827,Pineapple Chunks,Del Monte,Canned Fruit,Pineapple|Pineapple Juice
688267141140,Blueberry Baby Food,Plum Organics,Baby Food,Blueberries|Apple|Water
070330606708,Mixed Fruit Spread,Welch's,Spreads,Mixed Fruit|Sugar|Pectin
021000658275,Garlic & Brown Sugar BBQ,Sweet Baby Ray's,Sauces,Tomato|Garlic|Brown Sugar|Vinegar
041303054024,Greek Yogurt Key Lime,Chobani,Dairy,Milk|Lime|Sugar|Cultures
052100096357,Chips Ahoy Original,Nabisco,Cookies,Flour|Sugar|Chocolate|Vegetable Oil
070177484077,Bite Size Rounds,Tostitos,Snacks,Corn|Vegetable Oil|Salt
041190410514,Qi'a Superfood Cereal,Nature's Path,Cereal,Oats|Chia|Hemp|Buckwheat
012000161643,All-Bran Cereal,Kellogg's,Cereal,Wheat Bran|Sugar|Malt|Salt
041755069467,Milk & Cookies Ice Cream,Ben & Jerry's,Ice Cream,Cream|Cookies|Sugar
078742361406,Croissant Crust Pizza,DiGiorno,Frozen Pizza,Croissant Dough|Cheese|Tomato
037600226455,Crafted Bone Broth Chicken,Swanson,Broth,Chicken Bones|Water|Vegetables|Herbs
011110840318,Steamfresh Broccoli Cuts,Birds Eye,Frozen Vegetables,Broccoli
041497605125,Pink Lemonade,Tropicana,Juice,Water|Lemon Juice|Sugar|Cranberry
025000027994,Velveeta Original,Kraft,Cheese,Milk|Whey|Milk Protein|Salt
041130581281,Crunchy Granola Bars Peanut,Nature Valley,Snacks,Oats|Peanuts|Sugar|Canola Oil
041220067176,Meat Sauce,Prego,Sauces,Tomatoes|Beef|Onions|Garlic
011150540834,Sliced Pears,Del Monte,Canned Fruit,Pears|Water|Sugar
688267141133,Strawberry Banana Baby Food,Plum Organics,Baby Food,Strawberry|Banana|Apple
070330606722,Apple Jelly,Welch's,Spreads,Apple Juice|Sugar|Pectin
021000658237,Honey BBQ Sauce,Sweet Baby Ray's,Sauces,Tomato|Honey|Vinegar|Sugar
041303054000,Vanilla Greek Yogurt,Chobani,Dairy,Milk|Vanilla|Sugar|Cultures
052100120168,Wheat Thins Original,Nabisco,Snacks,Whole Wheat|Canola Oil|Sugar|Salt
070177031336,Multigrain Scoops,Tostitos,Snacks,Corn|Whole Wheat|Vegetable Oil|Salt
041190410491,Love Crunch Granola,Nature's Path,Cereal,Oats|Chocolate|Coconut|Almonds
012000161629,Crispix Cereal,Kellogg's,Cereal,Rice|Corn|Sugar|Salt
041755090478,Americone Dream Ice Cream,Ben & Jerry's,Ice Cream,Cream|Caramel|Fudge|Waffle Cone
078742145822,Croissant Crust Spinach,DiGiorno,Frozen Pizza,Croissant Dough|Spinach|Cheese
037600106238,Organic Vegetable Broth,Swanson,Broth,Organic Vegetables|Water|Salt
011110874047,Protein Blend Vegetables,Birds Eye,Frozen Vegetables,Edamame|Chickpeas|Carrots
041497434503,Grape Juice,Tropicana,Juice,Grape Juice|Water|Vitamin C
025000090455,Thick N Creamy Mac,Kraft,Pasta,Pasta|Cheese Sauce|Milk Powder
041130581311,Protein Oats Honey Bars,Nature Valley,Snacks,Oats|Honey|Protein|Almonds
041220067152,Fresh Mushroom Sauce,Prego,Sauces,Tomatoes|Mushrooms|Garlic|Herbs
011150183041,Diced Peaches,Del Monte,Canned Fruit,Peaches|Water|Sugar
688267039232,Butternut Squash Baby Food,Plum Organics,Baby Food,Butternut Squash|Water
070330606685,Blackberry Spread,Welch's,Spreads,Blackberries|Sugar|Pectin
021000658244,Teriyaki BBQ Sauce,Sweet Baby Ray's,Sauces,Soy Sauce|Sugar|Ginger|Garlic
041303054093,Coffee Greek Yogurt,Chobani,Dairy,Milk|Coffee|Sugar|Cultures
052100043641,Honey Maid Grahams,Nabisco,Snacks,Whole Wheat|Sugar|Honey|Oil
070177484084,Crispy Rounds,Tostitos,Snacks,Corn|Vegetable Oil|Salt|Lime
041190017805,Gorilla Munch Cereal,Nature's Path,Cereal,Corn|Evaporated Cane Juice
012000429989,Apple Jacks Cereal,Kellogg's,Cereal,Corn|Wheat|Sugar|Apple Flavor
041755090485,Peanut Butter Cup Ice Cream,Ben & Jerry's,Ice Cream,Cream|Peanut Butter Cups|Peanut Butter
078742041087,Personal Size Pizza Pepperoni,DiGiorno,Frozen Pizza,Flour|Cheese|Pepperoni|Tomato
037600432269,Sipping Bone Broth Ginger,Swanson,Broth,Chicken Bones|Ginger|Turmeric|Water
011110781543,Riced Cauliflower,Birds Eye,Frozen Vegetables,Cauliflower
041497605118,Apple Juice,Tropicana,Juice,Apple Juice|Vitamin C
025000031311,Sharp Cheddar Mac,Kraft,Pasta,Pasta|Sharp Cheddar|Whey
041130581298,Almond Butter Protein Bars,Nature Valley,Snacks,Oats|Almond Butter|Protein|Honey
041220632824,Farmers Market Sauce,Prego,Sauces,Tomatoes|Vegetables|Olive Oil|Herbs
011150540810,Mixed Fruit,Del Monte,Canned Fruit,Peaches|Pears|Grapes|Pineapple
688267039249,Green Bean Baby Food,Plum Organics,Baby Food,Green Beans|Water
070330726055,Raspberry Preserves,Welch's,Spreads,Raspberries|Sugar|Pectin
021000658268,Buffalo Wing BBQ Sauce,Sweet Baby Ray's,Sauces,Tomato|Vinegar|Hot Sauce|Butter
041303054116,Passion Fruit Greek Yogurt,Chobani,Dairy,Milk|Passion Fruit|Sugar|Cultures
052100096364,Chips Ahoy Chunky,Nabisco,Cookies,Flour|Sugar|Chocolate Chunks|Palm Oil
070177031343,Lightly Salted Rounds,Tostitos,Snacks,Corn|Vegetable Oil|Salt
041190400065,Heritage Flakes,Nature's Path,Cereal,Spelt|Kamut|Quinoa|Honey
012000508714,Frosted Flakes Chocolate,Kellogg's,Cereal,Corn|Sugar|Cocoa|Salt
041755090492,Caramel Sutra Ice Cream,Ben & Jerry's,Ice Cream,Cream|Caramel|Chocolate|Sugar
078742145853,Croissant Crust Chicken,DiGiorno,Frozen Pizza,Croissant Dough|Chicken|Cheese|BBQ Sauce
037600432252,Sipping Bone Broth Tom Basil,Swanson,Broth,Chicken Bones|Tomato|Basil|Water
011110874054,Southwest Style Vegetables,Birds Eye,Frozen Vegetables,Corn|Black Beans|Peppers|Onion
041497605149,Strawberry Lemonade,Tropicana,Juice,Water|Strawberry|Lemon Juice|Sugar
025000042133,Spirals Mac & Cheese,Kraft,Pasta,Spiral Pasta|Cheese Powder|Whey
041130589195,Peanut Butter Dark Choc Bars,Nature Valley,Snacks,Oats|Peanut Butter|Dark Chocolate|Honey
041220067145,Roasted Red Pepper Sauce,Prego,Sauces,Tomatoes|Red Peppers|Garlic|Basil
011150183065,Fruit Naturals Peaches,Del Monte,Canned Fruit,Peaches|Water|Fruit Juice
688267141164,Carrot Baby Food,Plum Organics,Baby Food,Carrots|Water
070330606715,Apricot Preserves,Welch's,Spreads,Apricots|Sugar|Pectin
021000658251,Korean BBQ Sauce,Sweet Baby Ray's,Sauces,Soy Sauce|Sesame|Ginger|Chili
041303052082,Flip Greek Yogurt Coconut,Chobani,Dairy,Milk|Coconut|Chocolate|Cultures
052100043672,Teddy Grahams Honey,Nabisco,Snacks,Wheat|Sugar|Honey|Oil
070177453909,Cantina Thin & Crispy,Tostitos,Snacks,Corn|Vegetable Oil|Salt|Lime
041190400058,Optimum Power Cereal,Nature's Path,Cereal,Oats|Flax|Soy|Blueberries
012000161612,Cocoa Krispies,Kellogg's,Cereal,Rice|Sugar|Cocoa|Salt
041755090508,Everything But The Ice Cream,Ben & Jerry's,Ice Cream,Cream|Peanut Butter Cups|Cookies|Brownies
078742041094,Personal Size Pizza Supreme,DiGiorno,Frozen Pizza,Flour|Cheese|Pepperoni|Vegetables
037600226462,Crafted Bone Broth Beef,Swanson,Broth,Beef Bones|Water|Vegetables|Herbs
011110840301,Steamfresh Brussels Sprouts,Birds Eye,Frozen Vegetables,Brussels Sprouts
041497434473,Watermelon Juice,Tropicana,Juice,Watermelon Juice|Water|Sugar
025000155734,Bacon Mac & Cheese,Kraft,Pasta,Pasta|Cheese|Bacon|Whey
041130589201,Oats Honey Crunchy Bars,Nature Valley,Snacks,Oats|Sugar|Honey|Canola Oil
041220632831,Homestyle Alfredo Sauce,Prego,Sauces,Cream|Parmesan|Garlic|Butter
011150540841,Tropical Fruit Salad,Del Monte,Canned Fruit,Pineapple|Papaya|Guava|Passion Fruit
688267141171,Spinach Pea Baby Food,Plum Organics,Baby Food,Spinach|Peas|Apple|Water
070330606739,Peach Preserves,Welch's,Spreads,Peaches|Sugar|Pectin
021000658282,Kickin' Bourbon BBQ,Sweet Baby Ray's,Sauces,Tomato|Bourbon|Molasses|Spices
041303054123,Mango Greek Yogurt,Chobani,Dairy,Milk|Mango|Sugar|Cultures
052100096371,Chips Ahoy Reese's,Nabisco,Cookies,Flour|Peanut Butter Chips|Sugar|Oil
070177031350,Oven Baked Scoops,Tostitos,Snacks,Corn|Vegetable Oil|Salt
041190017829,Leapin' Lemurs Cereal,Nature's Path,Cereal,Corn|Cocoa|Inulin|Sugar
012000508721,Froot Loops Cereal,Kellogg's,Cereal,Corn|Wheat|Sugar|Natural Flavors
041755090515,Coconut Seven Layer Bar,Ben & Jerry's,Ice Cream,Cream|Coconut|Graham|Fudge|Walnuts
078742145846,Croissant Crust Pepperoni,DiGiorno,Frozen Pizza,Croissant Dough|Pepperoni|Cheese|Tomato
037600226479,Crafted Bone Broth Turkey,Swanson,Broth,Turkey Bones|Water|Vegetables|Herbs
011110840295,Steamfresh Cauliflower,Birds Eye,Frozen Vegetables,Cauliflower
041497605156,Peach Mango Juice,Tropicana,Juice,Peach Juice|Mango Juice|Water|Sugar
025000155741,Jalapeno Mac & Cheese,Kraft,Pasta,Pasta|Cheese|Jalapeno|Whey
041130581328,Protein Chocolate Bars,Nature Valley,Snacks,Oats|Chocolate|Protein|Almonds
041220632848,Italian Sausage Sauce,Prego,Sauces,Tomatoes|Italian Sausage|Garlic|Fennel
011150540858,Fruit Cocktail No Sugar,Del Monte,Canned Fruit,Peaches|Pears|Grapes|Water
688267141188,Kale Spinach Apple Baby Food,Plum Organics,Baby Food,Kale|Spinach|Apple|Mango
070330726062,Blueberry Spread,Welch's,Spreads,Blueberries|Sugar|Pectin
021000658299,Maple BBQ Sauce,Sweet Baby Ray's,Sauces,Tomato|Maple Syrup|Vinegar|Molasses
